id_show,show_type,title,cast,release_year,duration_mins,seasons,listed_in,company
0,Movie,The Grand Seduction,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",2014,113,0,"Comedy, Drama",Amazon Prime
1,Movie,Take Care Good Night,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",2018,110,0,"Drama, International",Amazon Prime
2,Movie,Secrets Of Deception,"Tom Sizemore, Lorenzo Lamas, Robert Lasardo, Richard Jones, Yancey Arias, Noel Gugliemi",2017,74,0,"Action, Drama, Suspense",Amazon Prime
3,Movie,Pink: Staying True,"Interviews With: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, More!",2014,69,0,Documentary,Amazon Prime
4,Movie,Monster Maker,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",1989,45,0,"Drama, Fantasy",Amazon Prime
5,Movie,Living With Dinosaurs,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",1989,52,0,"Fantasy, Kids",Amazon Prime
6,Movie,Hired Gun,"Alice Cooper, Liberty Devitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",2017,98,0,"Documentary, Special Interest",Amazon Prime
7,Movie,Grease Live!,"Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos Penavega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz Ii Men, Jessie J, Ana Gasteyer, Didi Conn",2016,131,0,Comedy,Amazon Prime
8,Movie,Global Meltdown,"Michael Paré, Leanne Khol Young, Patrick J. Maceachern",2017,87,0,"Action, Science Fiction, Suspense",Amazon Prime
9,Movie,David'S Mother,"Kirstie Alley, Sam Waterston, Stockard Channing",1994,92,0,Drama,Amazon Prime
10,Movie,Forest Fairies,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",2016,88,0,"Adventure, Kids",Amazon Prime
11,Movie,Take Care,"Leslie Bibb, Kevin Curtis, Nadia Dajani",2014,93,0,Comedy,Amazon Prime
12,Movie,The Night Eats The World,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",2018,94,0,"Horror, Suspense",Amazon Prime
13,Movie,Resilencia,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",2020,46,0,"Documentary, Sports",Amazon Prime
14,Movie,Elon Musk: The Real Life Iron Man,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",2018,74,0,Documentary,Amazon Prime
15,Movie,Summer '03,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise Duquette",2019,96,0,"Comedy, Drama",Amazon Prime
16,Movie,Zoombies,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",2016,87,0,"Horror, Science Fiction",Amazon Prime
17,TV Show,Zoo Babies,Narrator - Gillian Barlett,2008,0,1,"Kids, Special Interest",Amazon Prime
18,TV Show,Zoë Coombs Marr: Bossy Bottom,Zoë Coombs Marr,2020,0,1,"Comedy, Talk Show And Variety",Amazon Prime
19,Movie,Zoe,"Ewan Mcgregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",2018,104,0,Science Fiction,Amazon Prime
20,TV Show,Zo Zo Zombie: Mini-Series,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",2020,0,1,"Action, Anime, Comedy",Amazon Prime
